Reporting Railroad Code,Reporting Railroad Name,Year,Accident Number,PDF Link,Accident Year,Accident Month,Other Railroad Code,Other Railroad Name,Other Accident Number,Other Accident Year,Other Accident Month,Maintenance Railroad Code,Maintenance Railroad Name,Maintenance Accident Number,Maintenance Accident Year,Maintenance Accident Month,Grade Crossing ID,Day,Date,Time,Accident Type Code,Accident Type,Hazmat Cars,Hazmat Cars Damaged,Hazmat Released Cars,Persons Evacuated,Subdivision,Division Code,Division,Station,Milepost,State Code,State Abbreviation,State Name,County Code,County Name,District,Temperature,Visibility Code,Visibility,Weather Condition Code,Weather Condition,Track Type Code,Track Type,Track Name,Track Class,Track Density,Train Direction Code,Train Direction,Equipment Type Code,Equipment Type,Equipment Attended,Train Number,Train Speed,Recorded Estimated Speed,Maximum Speed,Gross Tonnage,Signalization Code,Signalization,Method of Operation Code,Method of Operation,Adjunct Code 1,Adjunct Name 1,Adjunct Code 2,Adjunct Name 2,Adjunct Code 3,Adjunct Name 3,Remote Control Locomotive Code,Remote Control Locomotive,First Car Initials,First Car Number,First Car Position,First Car Loaded,Causing Car Initials,Causing Car Number,Causing Car Position,Causing Car Loaded,Positive Alcohol Tests,Positive Drug Tests,Passengers Transported,Head End Locomotives,Mid Train Manual Locomotives,Mid Train Remote Locomotives,Rear End Manual Locomotives,Rear End Remote Locomotives,Derailed Head End Locomotives,Derailed Mid Train Manual Locomotives,Derailed Mid Train Remote Locomotives,Derailed Rear End Manual Locomotives,Derailed Rear End Remote Locomotives,Loaded Freight Cars,Loaded Passenger Cars,Empty Freight Cars,Empty Passenger Cars,Cabooses,Derailed Loaded Freight Cars,Derailed Loaded Passenger Cars,Derailed Empty Freight Cars,Derailed Empty Passenger Cars,Derailed Cabooses,Equipment Damage Cost,Track Damage Cost,Total Damage Cost,Primary Accident Cause Code,Primary Accident Cause,Contributing Accident Cause Code,Contributing Accident Cause,Accident Cause Code,Accident Cause,Engineers On Duty,Firemen On Duty,Conductors On Duty,Brakemen On Duty,Hours Engineers On Duty,Minutes Engineers On Duty,Hours Conductors On Duty,Minutes Conductors On Duty,Railroad Employees Killed,Railroad Employees Injured,Passengers Killed,Passengers Injured,Others Killed,Others Injured,Reporting Railroad Fatalities for 55a,Reporting Railroad Injuries for 55a,Total Persons Killed,Total Persons Injured,Total Killed Form 54,Total Injured Form 54,Special Study 1,Special Study 2,Latitude,Longitude,Narrative,Joint Track Type,Joint Track Class,Class Code,Class,Joint CD,Incident Key,Report Key,Reporting Railroad Company Grouping,Reporting Railroad Class,Reporting Railroad SMT Grouping,Reporting Parent Railroad Code,Reporting Parent Railroad Name,Reporting Railroad Holding Company,Other Railroad Company Grouping,Other Railroad Class,Other Railroad SMT Grouping,Other Parent Railroad Code,Other Parent Railroad Name,Other Railroad Holding Company,Maintenance Railroad Company Grouping,Maintenance Railroad Class,Maintenance Railroad SMT Grouping,Maintenance Parent Railroad Code,Maintenance Parent Railroad Name,Maintenance Railroad Holding Company,Location,Type,geometry,Accident_Date,HUC2,HUC4,HUC6,HUC8,HUC10,HUC12
GDLK,"Grand Elk Railroad, LLC",2018,180220003,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=GDLK18022000320180220,18,2,,,,,,GDLK,"Grand Elk Railroad, LLC",180220003,18,2,,20,02/20/2018,9:45 PM,1,Derailment,0,0,0,0,GRAND ELK RAILROAD,,,WYOMING,99.3,26,MI,MICHIGAN,81,KENT,4,39,4,Dark,3,Rain,1,Main,MAIN,2,,1.0,North,1,Freight Train,Yes,GDLK,7,Recorded,7,3800,2,Not Signaled,,Yard/Restricted Limits,,,,,,,0,Not a remotely controlled operation,WAMX,4125,1,No,,,0,,,,No,2,0,0,0,0,2,0,0,0,0,32,0,25,0,0,0,0,1,0,0,17000,30000,47000,T002,Washout/rain/slide/flood/snow/ice damage to track,,,T002,Washout/rain/slide/flood/snow/ice damage to track,1.0,0.0,1.0,0.0,1.0,45.0,1.0,45.0,0,2,0,0,0,0,0,2,0,2,0,2,CWR,000-000-000,42.916239,-85.676008,"AT APPROXIMATELY 21:45 ON TUESDAY 2/20/18, GDLK 101 WITH 2 LOCOMOTIVES AND 57 CARS WAS TRAVELING NORTH ON THE GDLK MAIN. THE CREW WAS ENROUTE
TO HUGHART YARD IN GRAND RAPIDS WHEN THEY ENCOUNTERED A TRACK WASHOUT FROM HEAVY RAIN AND SNOW MELT AT MILEPOST 99.3 IN WYOMING, MICHIGAN. THE
ENGINEER WASUNABLE TO GET THE TRAIN STOPPED SHORT OF THE WASHOUT, CAUSING LOCOMOTIVES WAMX 4125 AND WAMX 4189 TODERAIL. WAMX 4125 TURNED
OVER ON ITS SIDE, WAMX 4189 WAS LEANING ONCE IT CAME TO REST. WAMX 4125 FUEL TANK WAS RUPTURED, ALLOWING DIESEL FUEL TO SPILL ONTO THE GROUND.",Main,2,3,3,1,GDLK180220003201802,GDLK180220003201802,Shortline,Class 3,SMT-8 - Short Line West,GDLK,"Grand Elk Railroad, LLC",Watco,,,,,,,Shortline,Class 3,SMT-8 - Short Line West,GDLK,"Grand Elk Railroad, LLC",Watco,POINT (-85.676008 42.916239),1,POINT (-85.676008 42.916239),2018-02-20,"123382, 123913, 122907, 122907, 123576, 123576, 123575, 123575, 123575, 123576","122907, 123576, 123576, 123575, 123575","122907, 123576, 123576, 123575, 123575",,,
WE,Wheeling & Lake Erie Railway Company,2024,240022,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=WE24002220240316,24,3,,,,,,WE,Wheeling & Lake Erie Railway Company,240022,24,3,,16,03/16/2024,10:30 PM,12,Other impacts,1,0,0,0,AKRON,,,AKRON,163.41,39,OH,OHIO,153,SUMMIT,2,35,4,Dark,2,Cloudy,1,Main,AKRON MAIN,2,16.2,4.0,West,1,Freight Train,Yes,553-,20,Estimated,20,3770,2,Not Signaled,,Direct Train Control,P,Track Warrant Control,,,,,0,Not a remotely controlled operation,DOWX,20721,3,Yes,,,0,No,,,No,1,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,30000,117963,147963,T002,Washout/rain/slide/flood/snow/ice damage to track,,,T002,Washout/rain/slide/flood/snow/ice damage to track,1.0,0.0,1.0,0.0,7.0,30.0,7.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,2787,2,41.0819,-81.4864,"553-16 WHILE TRAVELING WEST OVER THE BRIDGE APPROACH MPA 163.4 ENCOUNTERED A SINK DUE TO A WASHOUT UNDER THE WEST BRIDGE ABUTMENT. THIS ALLOWED THE ROADBED TO SUBSIDE AND THE TRACK AND THE WEST END OFTHE BRIDGE TO SINK. AS THE TRAIN TRAVERSED THIS SUNKEN AREA THE CREW BROUGHT THE TRAIN TO A STOP. NINE OF THE CARS IN THE TRAINS WERE LOADED COVERED HOPPERS, AND THE GATES USED TO UNLOAD THE PRODUCTWERE DAMAGED WHEN THE CARS PASSED OVER THE DEVIATION IN THE TRACK.",Main,2,Cl,Cl,1,WE240022202403,WE240022202403,,Class 2,SMT-2 - Short Line East,WE,Wheeling & Lake Erie Railway Company,Wheeling & Lake Erie,,,,,,,,Class 2,SMT-2 - Short Line East,WE,Wheeling & Lake Erie Railway Company,Wheeling & Lake Erie,POINT (-81.4864 41.0819),1,POINT (-81.4864 41.0819),2024-03-16,,,,,,
UP,Union Pacific Railroad Company,2015,0615SA016,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=UP0615SA01620150617,15,6,,,,,,UP,Union Pacific Railroad Company,0615SA016,15,6,,17,06/17/2015,7:31 AM,1,Derailment,0,0,0,0,SEALY IND LD,,,SEALY,137.1,48,TX,TEXAS,15,AUSTIN,5,74,2,Day,3,Rain,4,Industry,SEALY INDUSTRIAL LEA,X,,2.0,South,1,Freight Train,Yes,RDTK,9,Recorded,9,12061,2,Not Signaled,,Other Than Main Track,K,Restricted Speed or Equivalent,,,,,0,Not a remotely controlled operation,UP,6189,3,,,,0,,,,No,3,0,0,0,0,1,0,0,0,0,95,0,0,0,0,7,0,0,0,0,388818,44825,433643,T002,Washout/rain/slide/flood/snow/ice damage to track,,,T002,Washout/rain/slide/flood/snow/ice damage to track,1.0,0.0,1.0,1.0,4.0,36.0,4.0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,CWR,,29.780532,-96.127607,"THE RDTKC-16 WAS TRAVELING SOUTH ON THE SEALY INDUSTRIAL LEAD WHEN THE TRAIN DERAILED DUE TO AN APPARENT WASHOUT AT MP 137.1.  THE LEAD 2 UNITS WERE ABLE TO GET OVER THE WASHOUT AND THE THIRD OUT UNIT, THE UP6189 REMAINED UPRIGHT BUT DERAILED THE REAR SET OF TRUCKS.  7 CARS DERAILED.",Industry,X,CL,CL,1,UP0615SA016201506,UP0615SA016201506,,Class 1,SMT-6 - UP/KCS,UP,Union Pacific Railroad Company,Union Pacific Railroad Company,,,,,,,,Class 1,SMT-6 - UP/KCS,UP,Union Pacific Railroad Company,Union Pacific Railroad Company,POINT (-96.127607 29.780532),1,POINT (-96.127607 29.780532),2015-06-17,"96559, 96559, 96559, 96559, 97067, 97067, 97067, 97067, 97067, 97067, 97067, 97067, 97067, 98334, 98334, 98085, 98085, 98085, 98085, 98085, 98085, 98085, 98085, 98085, 98085, 98085, 98085, 97106, 97106, 98085, 97106, 97106, 97106, 97106, 97106, 97106, 97106, 97106, 97106, 97106, 97106, 97106, 97106, 97106, 97106, 97106, 97106, 95388, 95388, 95388, 95388, 97067, 97067, 97067, 97067","97067, 97067, 97067, 97106, 97106",97067,,,
GRS,Pan Am Railways/Guilford System,2018,20180804W1,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=GRS20180804W120180804,18,8,,,,,,GRS,Pan Am Railways/Guilford System,20180804W1,18,8,,4,08/04/2018,2:00 AM,1,Derailment,6,1,0,0,WESTERN,,,WENDELL,375.5,25,MA,MASSACHUSETTS,11,FRANKLIN,1,80,4,Dark,4,Fog,1,Main,MAIN LINE,2,9.51,3.0,East,1,Freight Train,Yes,EDPO,22,Recorded,22,13568,1,Signaled,,Signal Indication,,,,,,,0,Not a remotely controlled operation,CRDX,8252,10,Yes,,,0,,0.0,0.0,No,2,0,0,0,0,0,0,0,0,0,23,0,22,0,0,5,0,0,0,0,62000,19250,81250,T002,Washout/rain/slide/flood/snow/ice damage to track,,,T002,Washout/rain/slide/flood/snow/ice damage to track,1.0,0.0,1.0,0.0,3.0,,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,CWR,000-000-000,42.576915,-72.431917,EDPO-03 DERAILED 5 CARS DUE TO A WASHOUT AT MP375.5,Main,2,2,2,1,GRS20180804W1201808,GRS20180804W1201808,,Class 2,SMT-2 - Short Line East,GRS,Pan Am Railways/Guilford System,Not Assigned,,,,,,,,Class 2,SMT-2 - Short Line East,GRS,Pan Am Railways/Guilford System,Not Assigned,POINT (-72.431917 42.576915),1,POINT (-72.431917 42.576915),2018-08-04,"130371, 130371, 130371, 130371, 130371, 130371, 130371, 130372",,,,,
NS,Norfolk Southern Railway Company,2020,139183,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=NS13918320200917,20,9,,,,,,NS,Norfolk Southern Railway Company,139183,20,9,,17,09/17/2020,11:30 AM,1,Derailment,18,2,0,0,GEORGIA,,,DAVISBORO,S125.6,13,GA,GEORGIA,303,WASHINGTON,3,72,2,Day,3,Rain,1,Main,SINGLE MAIN TRACK,4,13.0,4.0,West,1,Freight Train,Yes,191G,40,Estimated,40,6823,1,Signaled,,Direct Train Control,J,Positive Train Control,,,,,0,Not a remotely controlled operation,IARX,64702,23,Yes,,,0,,,,No,3,0,0,0,0,0,0,0,0,0,81,0,77,0,0,17,0,11,0,0,864203,726707,1590910,T002,Washout/rain/slide/flood/snow/ice damage to track,,,T002,Washout/rain/slide/flood/snow/ice damage to track,1.0,0.0,1.0,0.0,11.0,15.0,11.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,CWR,000-000-000,32.971537,-82.662391,THE 191G516 HIT A WASHOUT ON THE TRACK AND DERAILED 28 CARS AND DAMAGED 2.,Main,4,1,1,1,NS139183202009,NS139183202009,,Class 1,SMT-3 - Norfolk Southern,NS,Norfolk Southern Railway Company,Norfolk Southern Railway Company,,,,,,,,Class 1,SMT-3 - Norfolk Southern,NS,Norfolk Southern Railway Company,Norfolk Southern Railway Company,POINT (-82.662391 32.971537),1,POINT (-82.662391 32.971537),2020-09-17,"153084, 152959, 152959, 151831, 151833, 152277, 152277, 152277, 152277, 152277, 152277, 152277, 152277, 152277, 152277, 152277, 152277, 152277, 152277, 152277, 153167, 153167, 153167, 152277, 153167, 153167, 153167, 152277, 152277, 152277, 152277, 152277, 151728, 151728, 151728, 151729, 151728, 151728, 151728, 151729, 151728, 151728, 151728, 151729, 151728, 151729, 151728, 151728, 151729, 153168, 153168","153084, 152277, 152277, 152277, 152277, 152277, 151729, 151728, 151729, 151729, 151729, 151729","152277, 152277, 152277, 152277","152277, 152277, 152277, 152277","152277, 152277, 152277, 152277","152277, 152277"
NLA,North Louisiana & Arkansas Railroad,2015,002,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=NLA00220150521,15,5,,,,,,NLA,North Louisiana & Arkansas Railroad,002,15,5,,21,05/21/2015,8:15 AM,1,Derailment,0,0,0,0,SYSTEM,,,LAKE VILLAGE,19,5,AR,ARKANSAS,17,CHICOT,5,64,2,Day,2,Cloudy,1,Main,MAIN LINE,X,8339.0,1.0,North,1,Freight Train,Yes,NLA,1,Estimated,1,527,2,Not Signaled,,Yard/Restricted Limits,,,,,,,0,Not a remotely controlled operation,SEAX,6,2,Yes,,,0,,,,No,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,4,0,0,0,0,10000,5000,15000,T002,Washout/rain/slide/flood/snow/ice damage to track,T002,Washout/rain/slide/flood/snow/ice damage to track,T002,Washout/rain/slide/flood/snow/ice damage to track,1.0,0.0,1.0,0.0,2.0,15.0,2.0,15.0,0,1,0,0,0,0,0,1,0,1,0,1,OTH,,33.336402,-91.28232,THE TRAIN WAS TRAELING NORTH BOUND WHEN THE SUBSTRUCTURE GAVE WAY DUE TO HEAVY RAIN FALL.  THIS CAUSED A SUDDEN CHANGE IN THE CROSS ELEVATION THAT CAUSED THE TRAIN TO ROLL ON ITS SIDE.,Main,X,Cl,Cl,1,NLA002201505,NLA002201505,,Class 3,SMT-8 - Short Line West,NLA,North Louisiana & Arkansas Railroad,Not Assigned,,,,,,,,Class 3,SMT-8 - Short Line West,NLA,North Louisiana & Arkansas Railroad,Not Assigned,POINT (-91.28232 33.336402),1,POINT (-91.28232 33.336402),2015-05-21,"95468, 94709, 97778, 97778, 97783, 97783, 97783, 97783",,,,,
KCS,Kansas City Southern Railway Company,2018,18092101,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=KCS1809210120180921,18,9,,,,,,KCS,Kansas City Southern Railway Company,18092101,18,9,,21,09/21/2018,11:15 PM,1,Derailment,3,0,0,0,GREENVILLE,,,COPEVILLE,0188.4,48,TX,TEXAS,85,COLLIN,5,80,4,Dark,3,Rain,1,Main,SINGLE MAIN TRACK,4,15.0,4.0,West,1,Freight Train,Yes,MSHD,23,Estimated,23,7774,1,Signaled,,Signal Indication,Q,Traffic Control System/CTC,,,,,0,Not a remotely controlled operation,KCSM,4764,1,No,,,0,,,,No,2,0,0,0,0,2,0,0,0,0,63,0,2,0,0,10,0,0,0,0,572449,206367,778816,T002,Washout/rain/slide/flood/snow/ice damage to track,,,T002,Washout/rain/slide/flood/snow/ice damage to track,1.0,0.0,1.0,0.0,10.0,15.0,10.0,15.0,0,2,0,0,0,0,0,2,0,2,0,2,CWR,000-000-000,33.126576,-96.392778,TRAIN ENCOUNTER A WASHOUT & PLACED TRAIN IN EMERGENCY & DERAILED 2 ENGINES & 10 CARS.  MP 188.40 GREENVILLE SUBDIVISION,Main,4,1,1,1,KCS18092101201809,KCS18092101201809,,Class 1,SMT-6 - UP/KCS,CPKC,CANADIAN PACIFIC KANSAS CITY,Kansas City Southern Railway Company,,,,,,,,Class 1,SMT-6 - UP/KCS,CPKC,CANADIAN PACIFIC KANSAS CITY,Kansas City Southern Railway Company,POINT (-96.392778 33.126576),1,POINT (-96.392778 33.126576),2018-09-21,"131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 130586, 131132, 131296, 131296, 131296, 131296, 131296, 131386, 131386, 131386, 131386, 131386, 131661, 131386, 131386, 131386","131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296","131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296, 131296","131296, 131296","131296, 131296",
UP,Union Pacific Railroad Company,2019,0519HL009,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=UP0519HL00920190507,19,5,,,,,,UP,Union Pacific Railroad Company,0519HL009,19,5,,7,05/07/2019,12:36 AM,1,Derailment,5,2,2,0,COFFEYVILLE SUB,,,BUFFALO,413.5,20,KS,KANSAS,205,WILSON,6,63,4,Dark,3,Rain,1,Main,SINGLE MAIN TRACK,4,35.9,1.0,North,1,Freight Train,Yes,CSAC,33,Recorded,33,5869,1,Signaled,,Signal Indication,Q,Traffic Control System/CTC,,,,,0,Not a remotely controlled operation,UP,77442,172,Yes,,,0,,,0.0,No,1,0,0,0,2,0,0,0,0,0,17,0,164,0,0,14,0,5,0,0,1428872,125394,1554266,T002,Washout/rain/slide/flood/snow/ice damage to track,H607,Failure to comply with restricted speed or its equivalent not in connection with a block or interloc,T002,Washout/rain/slide/flood/snow/ice damage to track,1.0,0.0,1.0,0.0,6.0,36.0,6.0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,CWR,000-000-000,37.683023,-95.721462,"THE CSACD9-05, LEAD LOCOMOTIVE UP7832, WAS TRAVELING NORTHBOUND NEAR MILE POST 413.5 OF THE COFFEYVILLE SUBDIVISION WHEN IT DERAILED 19 CARS DUE TO A WASHOUT IN FRONT OF THEM.  THE TRAIN WAS PLACED INTO EMERGENCY BRAKE APPLICATION. CAR# : IAPX 1121 ARGON LIQUID COMPLETE CAR RELEASE AND 199,400 LBS.CAR#: IAPX 1105 ARGON LIQUID COMPLETE RELEASE AND 202,500 LBS.",Main,4,CL,CL,1,UP0519HL009201905,UP0519HL009201905,,Class 1,SMT-6 - UP/KCS,UP,Union Pacific Railroad Company,Union Pacific Railroad Company,,,,,,,,Class 1,SMT-6 - UP/KCS,UP,Union Pacific Railroad Company,Union Pacific Railroad Company,POINT (-95.721462 37.683023),1,POINT (-95.721462 37.683023),2019-05-07,"136261, 135483, 135483, 135409, 135483, 135483, 135483, 135483, 135483, 136945, 135483, 135483, 135483, 136945, 135483, 136256, 136256, 137021, 137021, 137021, 137021, 137021, 137021, 137517, 137517, 138256, 135483, 136945, 135483, 135483, 135483, 135483, 136945, 135483, 136945, 135483, 135483, 135483, 136945, 135483, 135483, 135483, 138902, 138006, 138006, 138006, 137021","136945, 136945, 136256, 136256, 138256, 136945, 136945, 135483, 136945","136945, 136945, 135483","136945, 136945, 135483","136945, 136945, 135483",
BNSF,BNSF Railway Company,2022,MT0522101,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=BNSFMT052210120220501,22,5,,,,,,BNSF,BNSF Railway Company,MT0522101,22,5,,1,05/01/2022,12:06 AM,1,Derailment,5,0,0,0,GLASGOW,,,DES LACS,9.5,38,ND,NORTH DAKOTA,101,WARD,8,38,4,Dark,2,Cloudy,1,Main,MAIN 2 TRACK,5,25.15,3.0,East,1,Freight Train,Yes,ZPTL,55,Estimated,55,5921,1,Signaled,,Signal Indication,Q,Traffic Control System/CTC,,,,,0,Not a remotely controlled operation,DTTX,727801,7,Yes,,,0,,,,No,3,0,0,0,0,0,0,0,0,0,68,0,0,0,0,15,0,0,0,0,1000000,280000,1280000,T002,Washout/rain/slide/flood/snow/ice damage to track,,,T002,Washout/rain/slide/flood/snow/ice damage to track,1.0,0.0,1.0,0.0,7.0,6.0,7.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,CWR,000-000-000,48.2478,-101.471088,Z PTLCHC7 29A DERAILED 15 RAILCARS DUE TO WASHOUT/RAIN/SLIDE/FLOOD/SNOW/ICE DAMAGE TO TRACK. NO HAZMAT WAS RELEASED.,Main,5,1,1,1,BNSFMT0522101202205,BNSFMT0522101202205,,Class 1,SMT-5 - BNSF,BNSF,BNSF Railway Company,BNSF Railway Company,,,,,,,,Class 1,SMT-5 - BNSF,BNSF,BNSF Railway Company,BNSF Railway Company,POINT (-101.471088 48.2478),1,POINT (-101.471088 48.2478),2022-05-01,,,,,,
SOO,SOO Line Railroad Company,2011,227519,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=SOO22751920110806,11,8,,,,,,SOO,SOO Line Railroad Company,227519,11,8,,6,08/06/2011,8:30 AM,1,Derailment,20,2,0,0,CARRINGTON SUBDIVISI,,,KENSAL,336.6,38,ND,NORTH DAKOTA,31,FOSTER,8,60,2,Day,3,Rain,1,Main,SINGLE MAIN TRACK,4,40.0,4.0,West,1,Freight Train,Yes,293,38,Recorded,38,7722,2,Not Signaled,,Direct Train Control,P,Track Warrant Control,Z,Other-Narrative Required,,,0,Not a remotely controlled operation,CP,9754,1,,,,0,,,,No,2,0,0,0,0,2,0,0,0,0,44,0,55,0,0,17,0,16,0,0,2257213,141520,2398733,T002,Washout/rain/slide/flood/snow/ice damage to track,,,T002,Washout/rain/slide/flood/snow/ice damage to track,1.0,0.0,1.0,0.0,4.0,15.0,4.0,15.0,0,2,0,0,0,0,0,2,0,2,0,2,CWR,,47.339817,-98.84238,"293-05 ENCOUNTERED 3 WASHOUTS FROM FLASH FLOOD DUE TO HEAVY RAIN IN SHORT PERIOD OF TIME WHICH CAUSED 2 LOCOMOTIVES & 33 CARS TO DERAIL IN 2 SEPARATE LOCATIONS OF THE TRAIN. CREW WAS ABLE TO CLIMB OUTOF LEAD LOCOMOTIVE - CP 9754 WHICH WAS ON ITS SIDE & GO TO THE SECOND UNIT CP 9542 & CALL FOR HELP.ENGINEER & CONDUCTOR TRANSPORTED FOR MEDICAL. APPROXIMATELY 1500 GALLONS OF DIESEL FUEL RELEASED FROM LEAD LOCOMOTIVE & 1 CAR OF SOYBEAN OIL RUPTURED. NO HAZMAT LOADS INVOLVED. SPEED RECORDED AT TIMEOF DERAILMENT 37.8 MPH. FIELD #12 - CARRINGTON SUBDIVISION - FIELD #30 TYPE OF TERRITORY 2. NOT SIGNALED, 2. DIRECT TRAIN CONTROL, P. TRACK WARRANT CONTROL, Z - WASHOUT- FIELD 49 CWR",Main,4,6,6,1,SOO227519201108,SOO227519201108,,Class 1,SMT-8 - Short Line West,CPKC,CANADIAN PACIFIC KANSAS CITY,Not Assigned,,,,,,,,Class 1,SMT-8 - Short Line West,CPKC,CANADIAN PACIFIC KANSAS CITY,Not Assigned,POINT (-98.84238 47.339817),1,POINT (-98.84238 47.339817),2011-08-06,"55353, 57119, 57119, 57119, 57119, 57119, 57227, 57227, 57235, 57116, 57118, 59633, 59633, 59633, 59633, 59633, 59633, 59637, 59637, 59637, 59637, 53368, 53368, 53368, 53368, 53368, 53368, 56078, 53368, 53368, 57119, 57113, 53368, 57113, 53368, 53366, 57115, 57114, 57113, 57113, 57113, 57113, 57113, 53366, 53368, 53366, 53366, 53366, 57236, 57236, 57236, 57114","55353, 57119, 57119, 57119, 57119, 57119, 57227, 57227, 57119","55353, 57119, 57119, 57119, 57119, 57119, 57227, 57227, 57119",55353,55353,
