Reporting Railroad Code,Reporting Railroad Name,Year,Accident Number,PDF Link,Accident Year,Accident Month,Other Railroad Code,Other Railroad Name,Other Accident Number,Other Accident Year,Other Accident Month,Maintenance Railroad Code,Maintenance Railroad Name,Maintenance Accident Number,Maintenance Accident Year,Maintenance Accident Month,Grade Crossing ID,Day,Date,Time,Accident Type Code,Accident Type,Hazmat Cars,Hazmat Cars Damaged,Hazmat Released Cars,Persons Evacuated,Subdivision,Division Code,Division,Station,Milepost,State Code,State Abbreviation,State Name,County Code,County Name,District,Temperature,Visibility Code,Visibility,Weather Condition Code,Weather Condition,Track Type Code,Track Type,Track Name,Track Class,Track Density,Train Direction Code,Train Direction,Equipment Type Code,Equipment Type,Equipment Attended,Train Number,Train Speed,Recorded Estimated Speed,Maximum Speed,Gross Tonnage,Signalization Code,Signalization,Method of Operation Code,Method of Operation,Adjunct Code 1,Adjunct Name 1,Adjunct Code 2,Adjunct Name 2,Adjunct Code 3,Adjunct Name 3,Remote Control Locomotive Code,Remote Control Locomotive,First Car Initials,First Car Number,First Car Position,First Car Loaded,Causing Car Initials,Causing Car Number,Causing Car Position,Causing Car Loaded,Positive Alcohol Tests,Positive Drug Tests,Passengers Transported,Head End Locomotives,Mid Train Manual Locomotives,Mid Train Remote Locomotives,Rear End Manual Locomotives,Rear End Remote Locomotives,Derailed Head End Locomotives,Derailed Mid Train Manual Locomotives,Derailed Mid Train Remote Locomotives,Derailed Rear End Manual Locomotives,Derailed Rear End Remote Locomotives,Loaded Freight Cars,Loaded Passenger Cars,Empty Freight Cars,Empty Passenger Cars,Cabooses,Derailed Loaded Freight Cars,Derailed Loaded Passenger Cars,Derailed Empty Freight Cars,Derailed Empty Passenger Cars,Derailed Cabooses,Equipment Damage Cost,Track Damage Cost,Total Damage Cost,Primary Accident Cause Code,Primary Accident Cause,Contributing Accident Cause Code,Contributing Accident Cause,Accident Cause Code,Accident Cause,Engineers On Duty,Firemen On Duty,Conductors On Duty,Brakemen On Duty,Hours Engineers On Duty,Minutes Engineers On Duty,Hours Conductors On Duty,Minutes Conductors On Duty,Railroad Employees Killed,Railroad Employees Injured,Passengers Killed,Passengers Injured,Others Killed,Others Injured,Reporting Railroad Fatalities for 55a,Reporting Railroad Injuries for 55a,Total Persons Killed,Total Persons Injured,Total Killed Form 54,Total Injured Form 54,Special Study 1,Special Study 2,Latitude,Longitude,Narrative,Joint Track Type,Joint Track Class,Class Code,Class,Joint CD,Incident Key,Report Key,Reporting Railroad Company Grouping,Reporting Railroad Class,Reporting Railroad SMT Grouping,Reporting Parent Railroad Code,Reporting Parent Railroad Name,Reporting Railroad Holding Company,Other Railroad Company Grouping,Other Railroad Class,Other Railroad SMT Grouping,Other Parent Railroad Code,Other Parent Railroad Name,Other Railroad Holding Company,Maintenance Railroad Company Grouping,Maintenance Railroad Class,Maintenance Railroad SMT Grouping,Maintenance Parent Railroad Code,Maintenance Parent Railroad Name,Maintenance Railroad Holding Company,Location,Cause Description,Type,geometry,Accident_Date,Matched_Heat_EPISODE_IDs_NWS_Forecast_Zones,Matched_Heat_EPISODE_IDs_Climate_Divisions,Matched_Heat_EPISODE_IDs_County_Warning_Areas,Matched_Heat_EPISODE_IDs_States
BNSF,BNSF Railway Company,2022,PR0722107,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=BNSFPR072210720220717,22,7,,,,,,BNSF,BNSF Railway Company,PR0722107,22,7,,17,07/17/2022,5:01 PM,1,Derailment,0,0,0,0,BIG HORN,,,GILLETTE,628.3,56,WY,WYOMING,5,CAMPBELL,8,102,3,Dusk,1,Clear,1,Main,SINGLE MAIN TRACK,4,31.23,4.0,West,1.0,Freight Train,Yes,CEBM,38,Recorded,38,14817,1,Signaled,,Signal Indication,Q,Traffic Control System/CTC,,,,,0.0,Not a remotely controlled operation,COLX,4191.0,75,Yes,,,0,,,,No,2,0,0,0,1,0,0,0,0,0,106,0,1,0,0,23,0,0,0,0,664942,182000,846942,T109,Track alignment irregular (buckled/sunkink),,,T109,Track alignment irregular (buckled/sunkink),1.0,0.0,1.0,0.0,3.0,1.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,CWR,000-000-000,44.536439,-105.967282,C-EBMSPC-0-08A DERAILED 23 RAILCARS DUE TO THERMAL MISALIGNMENT. NO HAZARDOUS MATERIALS WERE RELEASED.,Main,4,1,1,1,BNSFPR0722107202207,BNSFPR0722107202207,,Class 1,SMT-5 - BNSF,BNSF,BNSF Railway Company,BNSF Railway Company,,,,,,,,Class 1,SMT-5 - BNSF,BNSF,BNSF Railway Company,BNSF Railway Company,POINT (-105.967282 44.536439),T109: Track alignment irregular (sun kink / heat),2,POINT (-105.967282 44.536439),2022-07-17,,,,
BNSF,BNSF Railway Company,2018,MT0818101,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=BNSFMT081810120180802,18,8,,,,,,BNSF,BNSF Railway Company,MT0818101,18,8,,2,08/02/2018,2:35 PM,1,Derailment,0,0,0,0,HI LINE,,,CUT BANK,1090.8,30,MT,MONTANA,35,GLACIER,8,86,2,Day,1,Clear,1,Main,SINGLE MAIN TRACK,4,86.77,4.0,West,1.0,Freight Train,Yes,GAYR,18,Estimated,18,16130,1,Signaled,,Signal Indication,Q,Traffic Control System/CTC,,,,,0.0,Not a remotely controlled operation,BNSF,478542.0,55,Yes,,,0,,,,No,3,0,0,0,2,0,0,0,0,0,113,0,0,0,0,12,0,0,0,0,81654,440000,521654,T109,Track alignment irregular (buckled/sunkink),,,T109,Track alignment irregular (buckled/sunkink),1.0,0.0,1.0,0.0,4.0,35.0,4.0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,CWR,000-000-000,48.640855,-112.345631,G-AYRVAW9-31 DERAILED 12 RAILCARS WHILE TRAVERSING SINGLE MAIN TRACK DUE TO TRACK ALIGNMENT IRREGULAR DUE TO THERMAL MISALIGNMENT. NO HAZARDOUS MATERIALS WERE RELEASED.,Main,4,1,1,1,BNSFMT0818101201808,BNSFMT0818101201808,,Class 1,SMT-5 - BNSF,BNSF,BNSF Railway Company,BNSF Railway Company,,,,,,,,Class 1,SMT-5 - BNSF,BNSF,BNSF Railway Company,BNSF Railway Company,POINT (-112.345631 48.640855),T109: Track alignment irregular (sun kink / heat),2,POINT (-112.345631 48.640855),2018-08-02,,,,
SW,"SOUTHWESTERN RAILROAD COMPANY, INC.",2013,SW402,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=SWSW40220130429,13,4,,,,,,SW,"SOUTHWESTERN RAILROAD COMPANY, INC.",SW402,13,4,,29,04/29/2013,10:30 AM,1,Derailment,0,0,0,0,WHITEWATER,,,HURLEY,6.7,35,NM,NEW MEXICO,17,GRANT,5,75,2,Day,1,Clear,1,Main,HURLEY MAIN,2,2.0,3.0,East,1.0,Freight Train,Yes,LSWH,20,Estimated,20,9000,2,Not Signaled,,Yard/Restricted Limits,,,,,,,0.0,Not a remotely controlled operation,UP,38545.0,67,Yes,,,0,,,,No,2,0,0,0,0,0,0,0,0,0,72,0,0,0,0,6,0,0,0,0,54000,6150,60150,T109,Track alignment irregular (buckled/sunkink),,,T109,Track alignment irregular (buckled/sunkink),1.0,0.0,1.0,0.0,3.0,30.0,3.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,OTH,,32.41875,-108.75311,EAST BOUND TRAIN OPERATING ON MAIN LINE IN RESTRICTED LIMITS.  REAR SIX CARS DERAILED ON SOFT TRACKAT SUN KINK LOCATION.,Main,2,3,3,1,SWSW402201304,SWSW402201304,Shortline,Class 3,SMT-8 - Short Line West,SW,"SOUTHWESTERN RAILROAD COMPANY, INC.","Jaguar Transport, LLC",,,,,,,Shortline,Class 3,SMT-8 - Short Line West,SW,"SOUTHWESTERN RAILROAD COMPANY, INC.","Jaguar Transport, LLC",POINT (-108.75311 32.41875),T109: Track alignment irregular (sun kink / heat),2,POINT (-108.75311 32.41875),2013-04-29,,,,
BNSF,BNSF Railway Company,2021,MT0921104,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=BNSFMT092110420210925,21,9,ATK,Amtrak (National Railroad Passenger Corporation),168437,21.0,9.0,BNSF,BNSF Railway Company,MT0921104,21,9,,25,09/25/2021,3:47 PM,1,Derailment,0,0,0,0,HI LINE,,,JOPLIN,1014.6,30,MT,MONTANA,51,LIBERTY,8,78,2,Day,1,Clear,1,Main,SINGLE MAIN TRACK,4,91.49,4.0,West,,,,,0,,78,0,1,Signaled,,Signal Indication,Q,Traffic Control System/CTC,,,,,,,,,0,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72135,22019251,T109,Track alignment irregular (buckled/sunkink),,,T109,Track alignment irregular (buckled/sunkink),0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0,0,0,3,83,0,0,CWR,000-000-000,48.557704,-110.81223,AMTRAK A-7 1-24 DERAILED 8 RAILCARS WHILE TRAVERSING SINGLE MAIN TRACK.  NO HAZARDOUS MATERIALS WERERELEASED.  DUE TO T109 - TRACK ALIGNMENT IRREGULAR (BUCKLED/SUNKINK),Main,4,1,1,1,BNSFMT0921104202109,BNSFMT0921104202109,,Class 1,SMT-5 - BNSF,BNSF,BNSF Railway Company,BNSF Railway Company,Passenger (Formerly Commuter),,"SMT-1 - Amtrak, Commuter East",ATK,Amtrak (National Railroad Passenger Corporation),Amtrak,,Class 1,SMT-5 - BNSF,BNSF,BNSF Railway Company,BNSF Railway Company,POINT (-110.81223 48.557704),T109: Track alignment irregular (sun kink / heat),2,POINT (-110.81223 48.557704),2021-09-25,,,,
UP,Union Pacific Railroad Company,2014,0814TC003,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=UP0814TC00320140803,14,8,,,,,,UP,Union Pacific Railroad Company,0814TC003,14,8,,3,08/03/2014,1:45 PM,1,Derailment,0,0,0,0,FAIRMONT SUB,,,KIESTER,36.55,27,MN,MINNESOTA,43,FARIBAULT,4,84,2,Day,1,Clear,1,Main,FAIRMONT SUB,3,8.1,1.0,North,1.0,Freight Train,Yes,LTC2,40,Recorded,40,1676,2,Not Signaled,,Direct Train Control,P,Track Warrant Control,,,,,0.0,Not a remotely controlled operation,NAHX,100400.0,31,No,,,0,,,,No,2,0,0,0,0,0,0,0,0,0,5,0,32,0,0,0,0,4,0,0,14757,5254,20011,T109,Track alignment irregular (buckled/sunkink),,,T109,Track alignment irregular (buckled/sunkink),1.0,0.0,1.0,0.0,4.0,45.0,4.0,45.0,0,0,0,0,0,0,0,0,0,0,0,0,CWR,,43.527693,-93.692087,LTC22-02 TRAVELING NORTHBOUND AT APPROXIMATELY 40 MPH ENCOUNTERED A THERMAL MISALIGNMENT WHICH RESULTED IN 3 CARS DERAILING AND RERAILING THEMSELVES ON CROSSING.  INCIDENT WAS REPORTED TO RMCC BY LOCAL CITIZEN.,Main,3,CL,CL,1,UP0814TC003201408,UP0814TC003201408,,Class 1,SMT-6 - UP/KCS,UP,Union Pacific Railroad Company,Union Pacific Railroad Company,,,,,,,,Class 1,SMT-6 - UP/KCS,UP,Union Pacific Railroad Company,Union Pacific Railroad Company,POINT (-93.692087 43.527693),T109: Track alignment irregular (sun kink / heat),2,POINT (-93.692087 43.527693),2014-08-03,,,,
UP,Union Pacific Railroad Company,2011,0611NP004,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=UP0611NP00420110605,11,6,,,,,,UP,Union Pacific Railroad Company,0611NP004,11,6,,5,06/05/2011,3:15 PM,1,Derailment,0,0,0,0,KEARNEY SUB,,,KEARNEY,194.25,31,NE,NEBRASKA,19,BUFFALO,6,95,2,Day,1,Clear,1,Main,NO. 3 MAIN,5,200.7,3.0,East,1.0,Freight Train,Yes,CNAW,48,Recorded,48,19305,1,Signaled,,Signal Indication,Q,Traffic Control System/CTC,,,,,0.0,Not a remotely controlled operation,UP,5973.0,138,,,,0,,,,No,2,0,0,0,1,0,0,0,0,1,135,0,0,0,0,0,0,0,0,0,17084,42315,59399,T109,Track alignment irregular (buckled/sunkink),,,T109,Track alignment irregular (buckled/sunkink),1.0,0.0,1.0,0.0,4.0,20.0,4.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,CWR,,40.691387,-99.176545,"THE CNAWK-04, AN EASTBOUND LOADED COAL TRAIN, WAS NOTIFIED BY THE DISPATCHER TO STOP THE TRAIN DUE TO A REPORT THAT THE TRAIN WAS DERAILED.  UPON INSPECTION, THEY FOUND ONE SET OF WHEELS ON THE DPU UNIT WAS DERAILED.  THE DERAILED UNIT WAS DRAGGED FROM MP 191.80-MP194.25 WHERE THE TRAIN GOT STOPPED.INVESTIGATION FOUND THAT DERAILMENT WAS CAUSED BY TRACK BUCKLING DUE TO THERMAL MISALIGNMENT.",Main,5,CL,CL,1,UP0611NP004201106,UP0611NP004201106,,Class 1,SMT-6 - UP/KCS,UP,Union Pacific Railroad Company,Union Pacific Railroad Company,,,,,,,,Class 1,SMT-6 - UP/KCS,UP,Union Pacific Railroad Company,Union Pacific Railroad Company,POINT (-99.176545 40.691387),T109: Track alignment irregular (sun kink / heat),2,POINT (-99.176545 40.691387),2011-06-05,,,,
BNSF,BNSF Railway Company,2015,MT0715103,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=BNSFMT071510320150714,15,7,,,,,,BNSF,BNSF Railway Company,MT0715103,15,7,,14,07/14/2015,5:30 PM,1,Derailment,49,3,0,0,GLASGOW,,,BROCKTON,184.3,30,MT,MONTANA,85,ROOSEVELT,8,73,3,Dusk,1,Clear,1,Main,SINGLE MAIN TRACK,4,70.91,3.0,East,1.0,Freight Train,Yes,HPAS,22,Recorded,22,7031,1,Signaled,,Signal Indication,Q,Traffic Control System/CTC,,,,,0.0,Not a remotely controlled operation,BNSF,561446.0,102,Yes,,,0,,,,No,3,0,0,0,0,0,0,0,0,0,28,0,88,0,0,3,0,6,0,0,83000,2389968,2472968,T109,Track alignment irregular (buckled/sunkink),,,T109,Track alignment irregular (buckled/sunkink),1.0,0.0,1.0,0.0,8.0,15.0,8.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,OTH,,48.146924,-104.739543,H-PASNTW1-10 DERAILED 9 RAILCARS WHILE TRAVERSING SINGLE MAIN TRACK DUE TO TRACK ALIGNMENT IRREGULARBUCKLED/SUNKINK. NO HAZARDOUS MATERIALS WERE RELEASED.,Main,4,1,1,1,BNSFMT0715103201507,BNSFMT0715103201507,,Class 1,SMT-5 - BNSF,BNSF,BNSF Railway Company,BNSF Railway Company,,,,,,,,Class 1,SMT-5 - BNSF,BNSF,BNSF Railway Company,BNSF Railway Company,POINT (-104.739543 48.146924),T109: Track alignment irregular (sun kink / heat),2,POINT (-104.739543 48.146924),2015-07-14,,,,
BNSF,BNSF Railway Company,2021,SW0621105,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=BNSFSW062110520210614,21,6,,,,,,BNSF,BNSF Railway Company,SW0621105,21,6,,14,06/14/2021,3:17 PM,1,Derailment,10,0,0,26,GALLUP,,,MESITA,58.7,35,NM,NEW MEXICO,6,CIBOLA,5,102,2,Day,1,Clear,1,Main,MAIN 2 TRACK,5,106.27,4.0,West,1.0,Freight Train,Yes,HBEL,44,Recorded,44,7875,1,Signaled,,Signal Indication,Q,Traffic Control System/CTC,,,,,0.0,Not a remotely controlled operation,BNSF,8274.0,1,,,,0,,0.0,0.0,No,4,0,0,0,0,4,0,0,0,0,66,0,17,0,0,9,0,2,0,0,1532119,1700000,3232119,T109,Track alignment irregular (buckled/sunkink),,,T109,Track alignment irregular (buckled/sunkink),1.0,0.0,1.0,0.0,5.0,5.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,CWR,000-000-000,35.021947,-107.313769,H-BELBAR1-13 DERAILED 4 LOCOMOTIVES AND 11 RAILCARS WHILE TRAVERSING MAIN 2 TRACK DUE TO TRACK ALIGNMENT IRREGULAR THERMAL MISALIGNMENT. NO HAZARDOUS MATERIALS WERE RELEASED. 26 PEOPLE EVACUATED.,Main,5,1,1,1,BNSFSW0621105202106,BNSFSW0621105202106,,Class 1,SMT-5 - BNSF,BNSF,BNSF Railway Company,BNSF Railway Company,,,,,,,,Class 1,SMT-5 - BNSF,BNSF,BNSF Railway Company,BNSF Railway Company,POINT (-107.313769 35.021947),T109: Track alignment irregular (sun kink / heat),2,POINT (-107.313769 35.021947),2021-06-14,,,,
DMVW,"DAKOTA, MISSOURI VALLEY & WESTERN RAILROAD, INC.",2024,DM240613A,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=DMVWDM240613A20240613,24,6,,,,,,DMVW,"DAKOTA, MISSOURI VALLEY & WESTERN RAILROAD, INC.",DM240613A,24,6,,13,06/13/2024,3:00 PM,1,Derailment,0,0,0,0,DAKOTA,,,OAKES,257.74,38,ND,NORTH DAKOTA,81,SARGENT,8,79,2,Day,1,Clear,1,Main,MAIN,2,1.1,3.0,East,1.0,Freight Train,Yes,JDM2,25,Estimated,25,13650,2,Not Signaled,,Direct Train Control,P,Track Warrant Control,,,,,0.0,Not a remotely controlled operation,CP,654096.0,51,Yes,,,0,No,,,No,3,0,0,0,0,0,0,0,0,0,105,0,0,0,0,15,0,0,0,0,937726,100000,1037726,T109,Track alignment irregular (buckled/sunkink),,,T109,Track alignment irregular (buckled/sunkink),1.0,0.0,1.0,0.0,1.0,,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,6500,1,46.137834,-97.96887,"THE CREW WENT ON DUTY AT 14:00 TO MOVE A 105 CAR LOADED GRAIN TRAIN FROM OAKES TO HANKINSON. AT 15:00, APPROXIMATELY FIVE MILES OUTSIDE OF OAKES, THE ENGINEER ASSUMED HE HAD A BROKEN KNUCKLE, AS THE TRAIN WENT INTO EMERGENCY, BUT DID NOT EXHIBIT ANY UNUSUAL FORCES. WHEN HE STOPPED, HE WAS UNABLE TOSEE PAST THE HEAD 30 CARS DUE TO A CURVE. THE CONDUCTOR INSPECTED THE TRAIN AND FOUND CARS NUMBER 51-65 HAD DERAILED. THE CAUSE IS BELIEVED TO BE A SUN KINK.",Main,2,3,3,1,DMVWDM240613A202406,DMVWDM240613A202406,Shortline,Class 3,SMT-8 - Short Line West,DMVW,"DAKOTA, MISSOURI VALLEY & WESTERN RAILROAD, INC.",Not Assigned,,,,,,,Shortline,Class 3,SMT-8 - Short Line West,DMVW,"DAKOTA, MISSOURI VALLEY & WESTERN RAILROAD, INC.",Not Assigned,POINT (-97.96887 46.137834),T109: Track alignment irregular (sun kink / heat),2,POINT (-97.96887 46.137834),2024-06-13,,,,
DN,"Dakota Northern Railroad, Inc.",2012,FRA108462,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=DNFRA10846220120706,12,7,,,,,,DN,"Dakota Northern Railroad, Inc.",FRA108462,12,7,,6,07/06/2012,4:49 PM,1,Derailment,0,0,0,0,WALHALLA,,,HOOPLE,11.9,38,ND,NORTH DAKOTA,99,WALSH,8,78,2,Day,1,Clear,1,Main,,1,9.0,2.0,South,1.0,Freight Train,Yes,BNSF,10,Estimated,10,15873,2,Not Signaled,,Yard/Restricted Limits,,,,,,,0.0,Not a remotely controlled operation,BNSF,486881.0,87,Yes,,,0,,,,,2,0,0,0,1,0,0,0,0,0,111,0,0,0,0,7,0,0,0,0,213000,120000,333000,T109,Track alignment irregular (buckled/sunkink),M199,Other extreme environmental conditions (Provide detailed description in narrative),T109,Track alignment irregular (buckled/sunkink),1.0,0.0,1.0,0.0,5.0,19.0,5.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,CWR,,48.521195,-97.630401,"THE DAKOTA NORTHERN TRAIN CREW WAS PULLING 111 SOY BEAN LOADS FORM CRYSTAL. ND BACK TO GRAFTON, ND FOR INTERCHANGE TO THE BNSF. THE TRAIN WAS DP'D HEADING SOUTH ON THE WALHALLA SUB.  AS THEY WERE PULLING AROUND A LEFT HAND CURVE JUST SOUTH OF HOOPLE, ND AT 10 MPH THE TRAIN WENT INTO EMERGENCY AT 1649 ON JULY 6TH 2012. 7 CARS TOTAL DERAILED & 5 OF THEM TIPPED OVER SPILLING SOY BEANS. THE FIRST CARTHAT DERAILED WAS THE 87TH CAR FROM THE HEAD END AND THE LAST CAR TO DERAIL WAS THE 93RD CAR FROM HEAD END. THE DERAILMENT WAS CAUSED FROM A SUN KINK AT MP 11.9 AND CONTRIBUTING CAUSE WAS EXCESSIVE HEAT/TEMPERATURES.",Main,1,Cl,Cl,1,DNFRA108462201207,DNFRA108462201207,Shortline,Class 3,SMT-8 - Short Line West,DN,"Dakota Northern Railroad, Inc.",Not Assigned,,,,,,,Shortline,Class 3,SMT-8 - Short Line West,DN,"Dakota Northern Railroad, Inc.",Not Assigned,POINT (-97.630401 48.521195),T109: Track alignment irregular (sun kink / heat),2,POINT (-97.630401 48.521195),2012-07-06,,,,
